==== Test Report ====
Test: check_spatial_statistical_outliers_min_series
File: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Variable: pr
Dataset Name: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Parameters: {'threshold': 4.5, 'method': 'IQR'}
--- Messages ---
Outliers detected: 3212 points.
Outliers detected in minimum time series: 3212 points.

--- Results (coordinates, values) ---
iqr	(6, 22)	1.8541986836085333e-27,IQR:1.0819311093058758e-28
iqr	(6, 27)	2.867451766654442e-26,IQR:1.0819311093058758e-28
iqr	(6, 28)	2.314124852135398e-26,IQR:1.0819311093058758e-28
iqr	(6, 49)	3.4882689671774497e-25,IQR:1.0819311093058758e-28
iqr	(7, 49)	2.5698850361505187e-27,IQR:1.0819311093058758e-28
The rest of the coordinates are in the summary
--- Summary ---
Dataset: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Test: check_spatial_statistical_outliers
Variable: pr
Parameters: {'threshold': 4.5, 'method': 'IQR'}
Score: 0/1
Messages: ['Outliers detected: 3212 points.', 'Outliers detected in minimum time series: 3212 points.']
Coordinates and results:
Name	Index	Value	Score
iqr	(13, 85)	3.333574219299214e-22	IQR:1.0819311093058758e-28
iqr	(13, 86)	4.754815313508952e-18	IQR:1.0819311093058758e-28
iqr	(13, 87)	4.446095792472524e-24	IQR:1.0819311093058758e-28
iqr	(13, 92)	2.4312860654816746e-27	IQR:1.0819311093058758e-28
iqr	(13, 93)	8.115756619487851e-26	IQR:1.0819311093058758e-28
iqr	(13, 94)	2.008602433148044e-22	IQR:1.0819311093058758e-28
iqr	(13, 95)	3.438297833579126e-25	IQR:1.0819311093058758e-28
iqr	(13, 96)	8.377344128254303e-26	IQR:1.0819311093058758e-28
iqr	(13, 98)	1.0719003165662217e-19	IQR:1.0819311093058758e-28
iqr	(13, 99)	2.0605524008032824e-19	IQR:1.0819311093058758e-28
iqr	(13, 100)	8.210876518597504e-20	IQR:1.0819311093058758e-28
iqr	(13, 101)	3.526006398920382e-21	IQR:1.0819311093058758e-28
iqr	(13, 104)	3.138416531561395e-23	IQR:1.0819311093058758e-28
iqr	(13, 105)	6.893171976707758e-26	IQR:1.0819311093058758e-28
iqr	(13, 106)	4.484930888256123e-19	IQR:1.0819311093058758e-28
iqr	(13, 107)	1.026747871192319e-20	IQR:1.0819311093058758e-28
iqr	(13, 108)	1.0221666043942325e-17	IQR:1.0819311093058758e-28
iqr	(13, 109)	3.4232572382474414e-20	IQR:1.0819311093058758e-28
iqr	(13, 110)	3.632661267338902e-17	IQR:1.0819311093058758e-28
iqr	(13, 112)	1.9769301095655273e-22	IQR:1.0819311093058758e-28
iqr	(13, 114)	2.2287187363231957e-19	IQR:1.0819311093058758e-28
iqr	(13, 115)	3.123080502535337e-20	IQR:1.0819311093058758e-28
iqr	(13, 116)	7.303237081837209e-20	IQR:1.0819311093058758e-28
iqr	(13, 124)	4.6191888286455e-20	IQR:1.0819311093058758e-28
iqr	(13, 125)	3.232765548142515e-25	IQR:1.0819311093058758e-28
iqr	(13, 126)	3.8684116894017285e-23	IQR:1.0819311093058758e-28
iqr	(13, 127)	1.0770511456423286e-25	IQR:1.0819311093058758e-28
iqr	(13, 128)	4.521847139083894e-22	IQR:1.0819311093058758e-28
iqr	(13, 129)	1.055360204323128e-17	IQR:1.0819311093058758e-28
iqr	(13, 130)	1.2020366315471944e-16	IQR:1.0819311093058758e-28
iqr	(13, 131)	7.430194442462467e-20	IQR:1.0819311093058758e-28
iqr	(13, 132)	1.7536072597289626e-19	IQR:1.0819311093058758e-28
iqr	(13, 133)	5.0914918331896596e-20	IQR:1.0819311093058758e-28
iqr	(13, 134)	2.4747437117118003e-27	IQR:1.0819311093058758e-28
iqr	(13, 135)	5.318876351879671e-23	IQR:1.0819311093058758e-28
iqr	(13, 136)	2.1598036518339275e-16	IQR:1.0819311093058758e-28
iqr	(13, 139)	1.9493858951000322e-23	IQR:1.0819311093058758e-28
iqr	(13, 141)	1.4165783352579135e-18	IQR:1.0819311093058758e-28
iqr	(13, 142)	3.616587700470925e-19	IQR:1.0819311093058758e-28
